,date,state,vaxxed_per_hundred,people_fully_vaccinated,Confirmed,cases_avg,deaths_avg,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,daily_vaccinations,total_vaccinations
37,2021-07-06,Oklahoma,38.77,1534133.0,458483,278.43,0.57,7388,451095,87823,11586.71620287336,1.6114010770301188,5017.0,3296670.0
38,2021-07-06,Oregon,54.29,2289915.0,209037,151.0,1.86,2781,206256,40684,4956.141172386992,1.3303864866028503,14730.0,4612486.0
39,2021-07-06,Pennsylvania,50.21,6428133.0,1217484,162.43,5.14,27706,1189778,154800,9510.115967136044,2.2756767234723414,22816.0,14021807.0
40,2021-07-06,Puerto Rico,56.4,1801101.0,140301,55.0,0.71,2552,137749,18523,4393.06333042552,1.818946408079772,80061.0,3768648.0
41,2021-07-06,Rhode Island,59.44,629683.0,152643,15.57,0.29,2730,149913,99519,14408.969180477665,1.7884868615003635,1751.0,1286436.0
42,2021-07-06,South Carolina,39.13,2014666.0,597961,197.29,3.43,9841,588120,75715,11613.793269542646,1.6457595060547427,6960.0,4230969.0
43,2021-07-06,South Dakota,45.65,403805.0,124592,8.71,0.71,2038,122554,31764,14083.618659845206,1.6357390522665982,775.0,823582.0
44,2021-07-06,Tennessee,37.67,2572522.0,867407,190.57,3.71,12571,854836,99072,12701.492157030996,1.449261995810502,33323.0,5496489.0
45,2021-07-06,Texas,41.7,12091994.0,3005221,1332.86,23.14,52482,2952739,403646,10364.303122915975,1.7463607501744465,51687.0,25978539.0
46,2021-07-06,Utah,37.48,1201445.0,416110,384.86,2.43,2378,413732,154406,12979.271718469176,0.5714835019586167,2034.0,2857298.0
47,2021-07-06,Vermont,66.1,412485.0,24419,3.86,0.29,258,24161,7549,3913.370267745105,1.056554322453827,793.0,856803.0
48,2021-07-06,Virgin Islands,33.77,35348.0,3895,5.29,0.0,30,3865,3895,3631.092217623149,0.7702182284980744,127.0,78600.0
49,2021-07-06,Virginia,52.47,4478317.0,681194,180.14,3.14,11431,669763,77200,7980.698068857909,1.6780828956215117,16147.0,9328521.0
50,2021-07-06,Washington,55.24,4206349.0,452483,331.86,6.86,5939,446544,112963,5942.079553842713,1.312535498571217,19116.0,8676836.0
51,2021-07-06,West Virginia,37.47,671593.0,164149,41.0,1.67,2899,161250,15505,9159.34909357324,1.766078380008407,1529.0,1426490.0
52,2021-07-06,Wisconsin,50.34,2930845.0,678008,73.86,2.57,8144,669864,117958,11644.752005776278,1.2011657679555403,11972.0,5982183.0
53,2021-07-06,Wyoming,35.36,204636.0,62445,63.86,0.57,747,61698,10714,10789.465045036017,1.196252702378093,1350.0,431146.0
